album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
SAVAGE MODE II [CHOPPED NOT SLOPPED],1,5O29nkYY8aByZY6X2TD7eO,Purple Savage Mode II Intro [ChopNotSlop Remix],spotify:track:5O29nkYY8aByZY6X2TD7eO,0.243,0.601,0.664,6.64E-05,0.326,-10.427,0.505,123.964,0.2,41,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],2,5pMU8APwU6k09iRcmSYNpV,Many Men [ChopNotSlop Remix],spotify:track:5pMU8APwU6k09iRcmSYNpV,0.00171,0.735,0.514,0.28,0.531,-10.561,0.0731,123.755,0.134,43,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],3,3anTHzyskaQVkWi8UxSTgj,Runnin [ChopNotSlop Remix],spotify:track:3anTHzyskaQVkWi8UxSTgj,0.0084,0.891,0.386,0.00317,0.159,-10.952,0.291,115.222,0.111,42,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],4,2PFnRMwywJzQEBTOElSkmV,My Dawg [ChopNotSlop Remix],spotify:track:2PFnRMwywJzQEBTOElSkmV,0.0648,0.875,0.355,0,0.205,-10.668,0.288,115.21,0.156,38,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],5,39nPqJBbWQYrfUQmA42uTZ,Snitches & Rats [ChopNotSlop Remix] (feat. Young Nudy),spotify:track:39nPqJBbWQYrfUQmA42uTZ,0.0826,0.845,0.505,0.000397,0.127,-11.912,0.253,115.182,0.24,37,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],6,7GjbHAe4SlpHS47BKiMj0A,Glock In My Lap [ChopNotSlop Remix],spotify:track:7GjbHAe4SlpHS47BKiMj0A,0.0146,0.853,0.422,8.46E-05,0.34,-12.232,0.305,105.607,0.181,39,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],7,37aVvSj79fSvNeimxSI92o,Slidin [ChopNotSlop Remix],spotify:track:37aVvSj79fSvNeimxSI92o,0.00165,0.838,0.374,5.54E-06,0.172,-10.812,0.363,124.112,0.15,37,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],8,6ba5ItuoGEm0KBh9oBKFOS,Brand New Draco [ChopNotSlop Remix],spotify:track:6ba5ItuoGEm0KBh9oBKFOS,0.0819,0.761,0.577,0.000153,0.391,-11.535,0.375,124.234,0.345,36,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],9,6gZnEG5qJOAyuV244wazeL,No Opp Left Behind [ChopNotSlop Remix],spotify:track:6gZnEG5qJOAyuV244wazeL,0.0459,0.906,0.444,2.72E-05,0.142,-9.826,0.501,141.068,0.193,35,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],10,4ymWhSFX1XzCnjJxfGihzW,Steppin On Niggas [ChopNotSlop Remix],spotify:track:4ymWhSFX1XzCnjJxfGihzW,0.00404,0.803,0.493,4.97E-05,0.683,-11.78,0.291,141.744,0.752,34,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],11,74Xq55d0irPDchHgYMBSHV,Mr. Right Now [ChopNotSlop Remix] (feat. Drake),spotify:track:74Xq55d0irPDchHgYMBSHV,0.234,0.69,0.678,0,0.684,-9.828,0.35,141.57,0.586,35,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],12,18EbQ3lKKZwmxtskOUM52N,Rich Nigga Shit [ChopNotSlop Remix] (feat. Young Thug),spotify:track:18EbQ3lKKZwmxtskOUM52N,0.517,0.741,0.402,0,0.736,-12.504,0.452,148.24,0.736,36,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],13,498a782fCJvXd51gCsUaZw,RIP Luv [ChopNotSlop Remix],spotify:track:498a782fCJvXd51gCsUaZw,0.146,0.744,0.248,0.0534,0.125,-14.201,0.291,148.484,0.0843,37,Metro Boomin
SAVAGE MODE II [CHOPPED NOT SLOPPED],14,78noo1oeVygvqtd5fs0Ol0,Said N Done [ChopNotSlop Remix],spotify:track:78noo1oeVygvqtd5fs0Ol0,0.0476,0.877,0.242,0.0505,0.657,-13.098,0.424,131.328,0.242,34,Metro Boomin
SAVAGE MODE II,1,5UpXJ75CXod4PCoBQP6MAP,Intro,spotify:track:5UpXJ75CXod4PCoBQP6MAP,0.312,0.427,0.473,0.369,0.527,-11.104,0.15,80.972,0.654,53,Metro Boomin
SAVAGE MODE II,2,5SWnsxjhdcEDc7LJjq9UHk,Runnin,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,0.00748,0.819,0.626,0.101,0.167,-4.574,0.202,143.01,0.415,81,Metro Boomin
SAVAGE MODE II,3,6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,spotify:track:6pcywuOeGGWeOQzdUyti6k,0.00574,0.847,0.733,1.04E-05,0.151,-6.439,0.16,130.029,0.202,74,Metro Boomin
SAVAGE MODE II,4,4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),spotify:track:4Q34FP1AT7GEl9oLgNtiWj,0.231,0.647,0.667,0,0.133,-5.563,0.304,172.08,0.704,78,Metro Boomin
SAVAGE MODE II,5,3ruoIF2UnoXdzK8mR61ebq,Rich Nigga Shit (feat. Young Thug),spotify:track:3ruoIF2UnoXdzK8mR61ebq,0.349,0.825,0.733,0,0.112,-5.625,0.0969,97.974,0.62,79,Metro Boomin
SAVAGE MODE II,6,7fxSLnklnayJNBIKntXedZ,Slidin,spotify:track:7fxSLnklnayJNBIKntXedZ,0.00163,0.774,0.706,1.28E-06,0.104,-6.494,0.355,152.891,0.382,69,Metro Boomin
SAVAGE MODE II,7,3CDVMejYHnB1SkEEx0T1N4,Many Men,spotify:track:3CDVMejYHnB1SkEEx0T1N4,0.000647,0.635,0.793,0.747,0.113,-4.333,0.0322,77.594,0.281,69,Metro Boomin
SAVAGE MODE II,8,2y3mrzWEWaAFqb2jf5fED8,Snitches & Rats (Interlude),spotify:track:2y3mrzWEWaAFqb2jf5fED8,0.742,0.607,0.371,0.000164,0.403,-14.255,0.894,102.481,0.945,55,Metro Boomin
SAVAGE MODE II,9,3WaDoMDQRqDdgtCDLxanpN,Snitches & Rats (feat. Young Nudy),spotify:track:3WaDoMDQRqDdgtCDLxanpN,0.00843,0.821,0.671,8.50E-05,0.0972,-5.893,0.18,145.953,0.494,61,Metro Boomin
SAVAGE MODE II,10,42Tohunwlh34o0mgxYx5iq,My Dawg,spotify:track:42Tohunwlh34o0mgxYx5iq,0.0652,0.831,0.532,0,0.464,-5.319,0.301,140.105,0.364,65,Metro Boomin
SAVAGE MODE II,11,7FtZFla3ZH6PqsAJ9MvVCM,Steppin On Niggas,spotify:track:7FtZFla3ZH6PqsAJ9MvVCM,0.000608,0.849,0.635,8.44E-06,0.062,-4.068,0.254,89.484,0.798,60,Metro Boomin
SAVAGE MODE II,12,4V9ynsDPwHtdItksqjuRu0,Brand New Draco,spotify:track:4V9ynsDPwHtdItksqjuRu0,0.041,0.697,0.709,0.000296,0.0886,-6.642,0.298,155.023,0.439,66,Metro Boomin
SAVAGE MODE II,13,50I7FNN2rl2rWiNwGxS146,No Opp Left Behind,spotify:track:50I7FNN2rl2rWiNwGxS146,0.0161,0.823,0.703,1.35E-06,0.294,-2.691,0.298,178.043,0.26,65,Metro Boomin
SAVAGE MODE II,14,1wGnp7ejkCuXRsehXx0PNP,RIP Luv,spotify:track:1wGnp7ejkCuXRsehXx0PNP,0.105,0.63,0.399,0.174,0.234,-9.869,0.178,183.016,0.0657,69,Metro Boomin
